id,dice_score_select,dice_oracle_select,dice_box_point,dice_strong_baseline
BRATS_183_z102,0.1842186060786484,0.1842186060786484,0.09216589861736994,0.05594927265940325
BRATS_183_z096,0.006543075245293969,0.15574963609784753,0.08952837729780365,0.05484916479667203
BRATS_183_z131,0.057142857142403636,0.10588235293961938,0.05309734513235179,0.04392922513701081
BRATS_183_z125,0.22925629993783267,0.29027237353972657,0.16700246250242445,0.14513618677014564
BRATS_183_z103,0.22522771184039408,0.22522771184039408,0.12315122245680177,0.09404171948819402
BRATS_183_z114,0.39059196617232933,0.4653652392932451,0.24225536797206645,0.15465104112152908
BRATS_118_z068,0.23811905952936782,0.3049680275447492,0.24831568816121596,0.16508230929728138
BRATS_118_z114,0.35975147749604525,0.3854403639902739,0.384640311081684,0.2067639604996882
BRATS_118_z067,0.2559280457885202,0.3062820167152702,0.260430994955845,0.13883718383867422
BRATS_118_z084,0.5027670635581898,0.6835410510077302,0.4952884774338772,0.33163434903028716
BRATS_118_z109,0.4311272088679276,0.5696813646595273,0.42156125845546916,0.2804512351847205
BRATS_118_z099,0.5101301268320622,0.6617521367514297,0.5010924981787641,0.3828681067027401
BRATS_118_z116,0.20799434028969227,0.23231924140609972,0.23213580734261324,0.11519247722586423
BRATS_118_z093,0.5308802198637065,0.7273492581282465,0.5317423894748877,0.3704099060629961
BRATS_147_z085,0.34903846153804197,0.6015164279679823,0.3665278303668225,0.4350435043497824
BRATS_147_z121,0.09451575262488615,0.10331632652995335,0.08402489626512435,0.05227492739576549
BRATS_147_z123,0.06287625418018143,0.07711238720199252,0.052135330005257156,0.03330970942582102
BRATS_147_z079,0.40281475846252796,0.504044274157071,0.3513603185130203,0.5823872353464793
BRATS_147_z054,0.08176100628913677,0.08924485125837701,0.06991753316588398,0.07218212104373092
BRATS_147_z083,0.3421349017640569,0.5633010315706055,0.33682394973470886,0.8010517090236589
BRATS_147_z108,0.9637551990435903,0.9637551990435903,0.9584587597774927,0.9584086799218903
BRATS_147_z096,0.4019654841797675,0.61810344827453,0.4005254358724617,0.3932808645596226
BRATS_436_z054,0.4401315789466445,0.4801722591055443,0.4344155844148792,0.3930669800229244
BRATS_436_z088,0.028120516499201952,0.03256150506500521,0.023300047551062054,0.014677250262071773
BRATS_436_z065,0.39710354815293686,0.5130869899913143,0.4184981684975298,0.8982989504129631
BRATS_436_z076,0.29673125856273885,0.4255725190826159,0.4035181236663019,0.5097760398133317
BRATS_436_z058,0.43829535365427896,0.5256688358631134,0.4300856686504573,0.613086471700793
BRATS_436_z063,0.4415259537203854,0.5234493192123233,0.46061001467874635,0.46460322686785543
BRATS_436_z062,0.45470410915364956,0.5210671573127488,0.4927785419523852,0.9056471413507343
BRATS_436_z085,0.14680561848630086,0.23488640739224148,0.15196998123791752,0.24679860302581763
BRATS_081_z083,0.020338983050748966,0.0731261425946412,0.018978761861640405,0.007329842931924381
BRATS_081_z059,0.4493800245261961,0.6652425999382918,0.3970623645555038,0.34479874542585215
BRATS_081_z074,0.33453033453001835,0.782585751976827,0.31236212829761545,0.1996953799288093
BRATS_081_z055,0.46678739587072304,0.7161092672954862,0.407281001137399,0.3556291390726514
BRATS_081_z063,0.4238306393932028,0.4594451316478893,0.36896830832428307,0.3375883291541272
BRATS_081_z033,0.531619537272331,0.5744444444412531,0.5078585461664644,0.575723830731761
BRATS_081_z058,0.4650933427259844,0.727144369925018,0.41840420812445756,0.35201279658738893
BRATS_081_z082,0.10780226325161466,0.26543209876133594,0.09619984055249482,0.04397473275018953
BRATS_266_z057,0.025062656640975872,0.027100271001975602,0.023866348448117747,0.01712328767093967
BRATS_266_z097,0.5590857416379111,0.8827412152971434,0.5617220852621239,0.5273682426704358
BRATS_266_z102,0.5600325600321802,0.7862660944198508,0.5257594090297868,0.49338838030246307
BRATS_266_z075,0.47146602137496035,0.5293584905656382,0.4313918445166176,0.3308958814925079
BRATS_266_z081,0.5240478515621801,0.595505617977115,0.5319861145545921,0.4048292774946214
BRATS_266_z094,0.560117647058494,0.8353851565240631,0.5922378405270604,0.486064318529614
BRATS_266_z114,0.5529911585709576,0.7391037446274722,0.7006980802782131,0.46187824082920886
BRATS_266_z120,0.40322320709040577,0.48987615490369596,0.40329350984758916,0.4021266312221651
BRATS_002_z085,0.3930759803915547,0.5047281323867125,0.3913971934100192,0.9408581368343994
BRATS_002_z118,0.4542491852583248,0.7174172977253193,0.4544770504127051,0.34201585503899207
BRATS_002_z076,0.3259678942392333,0.49252013808834144,0.35720198675422765,0.42286840808175735
BRATS_002_z080,0.3827502597845813,0.4863195057359084,0.3890160183059514,0.501704158144736
BRATS_002_z120,0.40413589364725516,0.702786377705352,0.4166920499530409,0.787096774188932
BRATS_002_z113,0.4264202600950951,0.7434210526293559,0.423089983021353,0.8438674410630548
BRATS_002_z087,0.40469897209925887,0.5164917541219706,0.4151227594510994,0.6533142584629154
BRATS_002_z104,0.472188995214605,0.6118241929198526,0.5958010213720526,0.5815837937374189
BRATS_169_z069,0.45358090185590455,0.834616795009774,0.4540109994302029,0.8500619578651382
BRATS_169_z086,0.4833193829959544,0.7123432809452369,0.5802469135794139,0.502174183127715
BRATS_169_z070,0.44471658502371464,0.8261881023568423,0.45417187779086265,0.40458379754829765
BRATS_169_z127,0.09340101522811033,0.18737270875636544,0.08529048207637425,0.05499103407042241
BRATS_169_z084,0.504360643654951,0.7180756986191756,0.561389116761606,0.6645757675789624
BRATS_169_z072,0.4847321584357272,0.5820238843482464,0.4825429911403812,0.411372723233509
BRATS_169_z113,0.3751628310890683,0.43210802700567114,0.3786152497800644,0.8450148074982972
BRATS_169_z098,0.5128897287076355,0.6848277106247793,0.529395374755462,0.8000855249074191
BRATS_351_z124,0.49008207934252723,0.7014194811534473,0.46203449943501207,0.4588536663457271
BRATS_351_z077,0.022869588891851703,0.027486910994674454,0.020583190394460712,0.013403542364746444
BRATS_351_z121,0.5475011256182688,0.7442335170427756,0.5519745801171857,0.8778167250854336
BRATS_351_z086,0.33578500707166087,0.4046692606996018,0.3868970013031504,0.7399150743060514
BRATS_351_z119,0.551809550019882,0.7602427921078144,0.55740895190359,0.9063141098680048
BRATS_351_z087,0.34776651137250236,0.4063432835813315,0.3922720247289146,0.5015801354390483
BRATS_351_z098,0.4996507566932483,0.6737050478378857,0.5431536319912135,0.7733887733873117
BRATS_351_z135,0.01546391752537464,0.024793388428727546,0.0018744142455394827,0.0005865676019155473
BRATS_240_z073,0.43855737704889275,0.6845403184379203,0.4051369033193572,0.35933806146552794
BRATS_240_z133,0.0017825311942800133,0.0033222591361574375,0.0014234875444738542,0.000989609104398864
BRATS_240_z049,0.2569154385686367,0.35610913404465466,0.24550041418763047,0.24430455635473297
BRATS_240_z060,0.46616884227300565,0.6259858201221811,0.4549146131165072,0.4512497930803668
BRATS_240_z065,0.4454051657241739,0.6554761509052223,0.437833714721348,0.43113900960328816
BRATS_240_z094,0.30414746543760596,0.3478915662648221,0.2972451307245147,0.29644752960374704
BRATS_240_z100,0.25450269233133965,0.25704819653669,0.2556260101950419,0.25631116374726903
BRATS_240_z115,0.31173650842691863,0.31173650842691863,0.3119294445299212,0.18009648025711977
BRATS_476_z123,0.35246504782863786,0.6002381897554576,0.35507783543299654,0.4377394636004843
BRATS_476_z096,0.3525341914719609,0.5357600615219998,0.30135478990420095,0.25861661945216086
BRATS_476_z094,0.34402626925962443,0.544847605224173,0.3162379919427361,0.2517560073935602
