file,condition,dice,iou
case_00000_z170.png,blur_k7,0.8378650553834952,0.7209705372554509
case_00000_z170.png,down_up_0.5,0.8480818414278871,0.7362344582527867
case_00000_z170.png,down_up_0.25,0.8680229525254668,0.7668202764906284
case_00000_z170.png,contrast_0.8,0.8379204892923654,0.7210526315726224
case_00000_z170.png,contrast_1.2,0.8435725348433476,0.7294642857077727
case_00000_z170.png,gamma_0.8,0.8365482233460074,0.719022687602801
case_00000_z170.png,gamma_1.2,0.8346055979601292,0.7161572052339201
case_00000_z171.png,clean,0.8208744710821774,0.6961722487982762
case_00000_z171.png,noise_sigma10,0.8183538315949936,0.6925540432290429
case_00000_z171.png,noise_sigma25,0.8147806004581304,0.6874512860429661
case_00000_z171.png,blur_k3,0.8205598898539672,0.6957198443525625
case_00000_z171.png,blur_k7,0.8223443223405571,0.6982892690458921
case_00000_z171.png,down_up_0.5,0.7994652406381486,0.6659242761643214
case_00000_z171.png,down_up_0.25,0.8289534347587416,0.7078740157424578
case_00000_z171.png,contrast_0.8,0.8259838786115411,0.7035541195419746
case_00000_z171.png,contrast_1.2,0.814851485144481,0.6875522138622594
case_00000_z171.png,gamma_0.8,0.8209934395462934,0.69634340222022
case_00000_z171.png,gamma_1.2,0.8205369759735255,0.6956869009529099
case_00000_z172.png,clean,0.8229665071734539,0.6991869918647511
case_00000_z172.png,noise_sigma10,0.8217186831944348,0.6973875181371743
case_00000_z172.png,noise_sigma25,0.8666972056762864,0.7647534357254264
case_00000_z172.png,blur_k3,0.8302712160943558,0.7097980553424847
case_00000_z172.png,blur_k7,0.8279386712060139,0.7063953488320757
case_00000_z172.png,down_up_0.5,0.8264820424023086,0.7042772861304994
case_00000_z172.png,down_up_0.25,0.8277027026992074,0.7060518731937605
case_00000_z172.png,contrast_0.8,0.8264101442902212,0.7041728762987767
case_00000_z172.png,contrast_1.2,0.8299559471329078,0.709337349392249
case_00000_z172.png,gamma_0.8,0.8207343412491546,0.6959706959655974
case_00000_z172.png,gamma_1.2,0.8258967629010241,0.7034277198159209
case_00000_z173.png,clean,0.8554572271350381,0.7474226804068673
case_00000_z173.png,noise_sigma10,0.8578745198426895,0.7511210762275702
case_00000_z173.png,noise_sigma25,0.8491433347227366,0.7378358750854188
case_00000_z173.png,blur_k3,0.8573825503319741,0.7503671071897918
case_00000_z173.png,blur_k7,0.8453947368386292,0.7321937321885172
case_00000_z173.png,down_up_0.5,0.8424516659776123,0.7277896233068388
case_00000_z173.png,down_up_0.25,0.8442991418028432,0.7305516265860641
case_00000_z173.png,contrast_0.8,0.8595529312490108,0.7536982248464964
case_00000_z173.png,contrast_1.2,0.8639253921116409,0.7604477611883549
case_00000_z173.png,gamma_0.8,0.8536789297623174,0.7447118891265886
case_00000_z173.png,gamma_1.2,0.857504215847987,0.7505535055295163
case_00000_z174.png,clean,0.8496732026109083,0.7386363636311177
case_00000_z174.png,noise_sigma10,0.8447304907447919,0.7311977715826519
case_00000_z174.png,noise_sigma25,0.8461859107926378,0.7333815028848745
case_00000_z174.png,blur_k3,0.8466505246132097,0.7340797760620429
case_00000_z174.png,blur_k7,0.8414291449183403,0.7262647262596933
case_00000_z174.png,down_up_0.5,0.8400478659719185,0.724209078399421
case_00000_z174.png,down_up_0.25,0.8334661354548468,0.7144808743120596
case_00000_z174.png,contrast_0.8,0.848879837063752,0.7374380750124739
case_00000_z174.png,contrast_1.2,0.8368737474916358,0.7195037904843591
case_00000_z174.png,gamma_0.8,0.8496945010148689,0.7386685552355619
case_00000_z174.png,gamma_1.2,0.8465002046629289,0.7338537970139543
case_00000_z175.png,clean,0.8476075593049955,0.7355198883409944
case_00000_z175.png,noise_sigma10,0.836806920956206,0.7194050033757985
case_00000_z175.png,noise_sigma25,0.8615888615853334,0.7568345323686559
case_00000_z175.png,blur_k3,0.8461229409367372,0.733286908072888
case_00000_z175.png,blur_k7,0.8375796178310606,0.7205479452005442
case_00000_z175.png,down_up_0.5,0.8263943440658822,0.7041499330608826
case_00000_z175.png,down_up_0.25,0.8220570981586935,0.6978751659980221
case_00000_z175.png,contrast_0.8,0.8436246992748853,0.7295423023527772
case_00000_z175.png,contrast_1.2,0.8440145102747117,0.7301255230074608
case_00000_z175.png,gamma_0.8,0.8461538461504562,0.7333333333282408
case_00000_z175.png,gamma_1.2,0.8485092667169681,0.7368789363139477
case_00000_z176.png,clean,0.855725506404069,0.7478323699367931
case_00000_z176.png,noise_sigma10,0.8557295960393416,0.7478386167093096
case_00000_z176.png,noise_sigma25,0.8511856091543288,0.7409252668986411
case_00000_z176.png,blur_k3,0.8302037554900911,0.709699453547065
case_00000_z176.png,blur_k7,0.8556409219536771,0.7477031802067301
case_00000_z176.png,down_up_0.5,0.8518971848190457,0.7420042643870505
case_00000_z176.png,down_up_0.25,0.8294420261146441,0.7085868830242827
case_00000_z176.png,contrast_0.8,0.856548856545295,0.7490909090854612
case_00000_z176.png,contrast_1.2,0.86838764282324,0.7673896783787032
case_00000_z176.png,gamma_0.8,0.8592715231752514,0.7532656023167398
case_00000_z176.png,gamma_1.2,0.8538302277397357,0.7449421965264095
case_00000_z177.png,clean,0.8782755705795509,0.7829691032344916
case_00000_z177.png,noise_sigma10,0.8777348777311123,0.7821100917371399
case_00000_z177.png,noise_sigma25,0.8463698355361157,0.7336578581311985
case_00000_z177.png,blur_k3,0.8801384681917779,0.7859350850016543
case_00000_z177.png,blur_k7,0.8499399759869951,0.7390396659656295
case_00000_z177.png,down_up_0.5,0.847498983323109,0.735356386727344
case_00000_z177.png,down_up_0.25,0.840160642566907,0.7243767312969227
case_00000_z177.png,contrast_0.8,0.8775942397252114,0.7818867924469293
case_00000_z177.png,contrast_1.2,0.859178541488436,0.7531227038886619
case_00000_z177.png,gamma_0.8,0.879864636206092,0.7854984894200492
case_00000_z177.png,gamma_1.2,0.8797280067960913,0.7852807283703697
case_00000_z178.png,clean,0.8345954563537881,0.7161422708569348
case_00000_z178.png,noise_sigma10,0.8404981920416211,0.7248787248737015
case_00000_z178.png,noise_sigma25,0.8440292445132249,0.730147575539493
case_00000_z178.png,blur_k3,0.8365231259934748,0.7189856065749213
case_00000_z178.png,blur_k7,0.8386841062194266,0.7221843003363674
case_00000_z178.png,down_up_0.5,0.8310249307446339,0.7109004739288362
case_00000_z178.png,down_up_0.25,0.8641350210934003,0.7607726597268888
case_00000_z178.png,contrast_0.8,0.8371348539382268,0.7198898829957338
case_00000_z178.png,contrast_1.2,0.8427419354804728,0.7282229965106047
case_00000_z178.png,gamma_0.8,0.8355945730214063,0.7176148046558081
case_00000_z178.png,gamma_1.2,0.8312822548597408,0.7112771739082114
case_00000_z179.png,clean,0.8483099752644341,0.736578382242401
case_00000_z179.png,noise_sigma10,0.8375304630347785,0.7204751921682707
case_00000_z179.png,noise_sigma25,0.8565160157926437,0.7490406753587948
case_00000_z179.png,blur_k3,0.8497109826554513,0.7386934673313805
case_00000_z179.png,blur_k7,0.8367428800608234,0.7193103448226255
case_00000_z179.png,down_up_0.5,0.8433236874706767,0.7290922087153032
case_00000_z179.png,down_up_0.25,0.8739714161937031,0.7761538461478757
