id,case_id,z,sam_score,dice,iou,sens,spec
BRATS_371_z087,BRATS_371,87,0.7882620692253113,0.05194805194670265,0.026666666665955557,0.9999999989999999,0.9936620941133889
BRATS_371_z047,BRATS_371,47,0.9562593102455139,0.3922829581979554,0.24399999999891556,0.999999999981785,0.9701845716988361
BRATS_371_z075,BRATS_371,75,0.9542238712310791,0.5067691181842174,0.33937760352771534,0.9992784992712895,0.9520582061406497
BRATS_371_z043,BRATS_371,43,0.988010823726654,0.18389346861012118,0.10125698323951637,0.9999999999310344,0.9775998607604252
BRATS_371_z048,BRATS_371,48,0.939488410949707,0.44947401976267304,0.28988486841986066,0.9999999999858156,0.969645838825737
BRATS_267_z089,BRATS_267,89,0.8046303391456604,0.76810369117845,0.623513266236855,0.7484898407427321,0.9934563186860659
BRATS_267_z100,BRATS_267,100,0.9447994232177734,0.599000116264854,0.4275518672192074,0.9984496123992308,0.9373864049434866
BRATS_267_z099,BRATS_267,99,0.9415301084518433,0.5827338129489641,0.41116751268968205,0.9999999999960175,0.9347238105609225
BRATS_267_z132,BRATS_267,132,0.9800692796707153,0.32553191489015393,0.19440914866334932,0.9999999999346405,0.9889637404910633
BRATS_267_z113,BRATS_267,113,0.918123185634613,0.6243974786788573,0.4539083557939248,0.9970396684369626,0.9638532667988475
BRATS_267_z083,BRATS_267,83,0.8172717690467834,0.32695652173628736,0.19542619542416398,0.43518518517511146,0.9907290792049764
BRATS_267_z104,BRATS_267,104,0.9378728866577148,0.584170253466542,0.41259922310350855,0.9947068403868294,0.9371645147249135
BRATS_267_z116,BRATS_267,116,0.9230563044548035,0.6680290644853133,0.5015342652557057,0.9872483221410252,0.9742826590623821
BRATS_183_z097,BRATS_183,97,0.8211301565170288,0.006201550387500751,0.003110419906639029,0.01481481481371742,0.9911598364219976
BRATS_183_z106,BRATS_183,106,0.7397403717041016,0.4718562874223242,0.3087774294646648,0.8073770491637833,0.9862025493764908
BRATS_183_z102,BRATS_183,102,0.7745614647865295,0.3758642363269902,0.23142414860501995,0.9966666666334444,0.9826876090748722
BRATS_183_z096,BRATS_183,96,0.7958111763000488,0.009884678747777847,0.0049668874171363096,0.026785714283322704,0.991441692179065
BRATS_183_z131,BRATS_183,131,0.9394510388374329,0.14604462474348795,0.07877461706610997,0.9999999997222222,0.9926864012228142
BRATS_183_z125,BRATS_183,125,0.9195180535316467,0.5155494125741842,0.347299813777027,0.9999999999731903,0.9877505373336034
BRATS_183_z103,BRATS_183,103,0.6989151239395142,0.49756097560672224,0.33116883116614315,0.9999999999754902,0.9855923905439598
BRATS_183_z114,BRATS_183,114,0.9347062110900879,0.551492537311375,0.3807315816569772,0.9999999999864682,0.9788607305532828
BRATS_118_z068,BRATS_118,68,0.9353424906730652,0.41641641641502697,0.26295828065628757,0.8739495798196926,0.9708364096612575
BRATS_118_z114,BRATS_118,114,0.9798957109451294,0.39494260522309943,0.24606135986681996,0.9999999999915755,0.9355290447235681
BRATS_118_z067,BRATS_118,67,0.9360093474388123,0.39943741209423544,0.24956063268783146,0.8958990536136293,0.9711757890669924
BRATS_118_z084,BRATS_118,84,0.9501226544380188,0.6761453396516857,0.5107398568010386,0.9983338887004388,0.9475265114743956
BRATS_118_z109,BRATS_118,109,0.9783945679664612,0.5336048879829822,0.363888888888215,0.998475609751024,0.9383088869713586
BRATS_118_z099,BRATS_118,99,0.9663953185081482,0.6389605032477683,0.4694650704645106,0.9977455716554018,0.9358840260572647
BRATS_118_z116,BRATS_118,116,0.9713224768638611,0.23538831064804766,0.1333938294007863,0.9999999999829932,0.9329965621271078
BRATS_118_z093,BRATS_118,93,0.948092520236969,0.657834973504298,0.4901297236315706,0.9991376832394391,0.9332421795604418
BRATS_147_z085,BRATS_147,85,0.9185732007026672,0.5034674063791549,0.3364226135302678,0.9999999999931131,0.9489919498466644
BRATS_147_z121,BRATS_147,121,0.8948001861572266,0.27135678391505264,0.15697674418300434,0.9999999998765433,0.9924372815937356
BRATS_147_z123,BRATS_147,123,0.8577939867973328,0.18252427184111603,0.10042735042520454,0.999999999787234,0.9926850033880089
BRATS_147_z079,BRATS_147,79,0.9199568033218384,0.5682854843022048,0.3969265367301465,0.9999999999905572,0.9715427742698269
BRATS_147_z054,BRATS_147,54,0.9221107363700867,0.13476157567334224,0.07224898110384495,0.9999999999487179,0.9563801062623541
