id,case_id,z,sam_score,dice,iou,sens,spec
liver_100_z591,liver_100,591,0.9505162239074707,0.9597487471999677,0.9226124406162761,0.9996632510703806,0.9842589654078078
liver_100_z482,liver_100,482,0.9428648948669434,0.8643748931075997,0.761144578313325,0.9996835192657648,0.9665549297915291
liver_100_z651,liver_100,651,0.9991665482521057,0.7715150235734491,0.6280215374044815,1.0,0.9873491206333627
liver_100_z503,liver_100,503,0.9576816558837891,0.8653657286818587,0.7626825229565551,1.0,0.9591835854063752
liver_6_z468,liver_6,468,0.9705190658569336,0.9305344633322072,0.870092987036842,0.9863945578231363,0.989402479342246
liver_6_z351,liver_6,351,0.9821305274963379,0.9790800415800551,0.959017436680719,0.9996020164499873,0.9987470837293702
liver_6_z456,liver_6,456,0.9486125111579895,0.8861883005018564,0.795635654483778,0.9899594193197548,0.9754954017150711
liver_6_z356,liver_6,356,0.9908856153488159,0.9830749849372936,0.9667133469783834,0.9983312938035395,0.99883865615927
liver_6_z383,liver_6,383,0.9827407002449036,0.9685223808759927,0.9389659677720781,0.9981481481481493,0.9961420752639422
liver_6_z363,liver_6,363,0.9934523701667786,0.979133946600862,0.959120879120915,0.9986270022883308,0.9982087342119824
liver_6_z312,liver_6,312,0.9453144073486328,0.9072426937744139,0.830232558141509,1.0,0.9994415331063765
liver_6_z406,liver_6,406,0.9601345658302307,0.8404848010947511,0.7248588046869574,0.9903829542182606,0.9740132936240457
liver_129_z098,liver_129,98,0.9425534009933472,0.5125519790544287,0.3445848001657789,0.9996996094923402,0.8431927984473782
liver_129_z061,liver_129,61,0.9580347537994385,0.9462692234669202,0.8980180180182018,0.997598078462775,0.9978455986435828
liver_129_z250,liver_129,250,0.9444243311882019,0.7671816404615923,0.6222990066021321,0.9999801701401971,0.8554377346905105
liver_129_z051,liver_129,51,0.9759299159049988,0.9363606231356706,0.8803365534438132,0.983977708115695,0.998696354807481
liver_129_z272,liver_129,272,0.968105137348175,0.9209017446994087,0.853399345403353,0.9998786466676375,0.9679915996053278
liver_129_z048,liver_129,48,0.9612756371498108,0.8903863432167781,0.8024291497983708,0.9989919354838761,0.9981319188191883
liver_129_z212,liver_129,212,0.9269220232963562,0.6854454971419756,0.5214279785674544,1.0,0.7476070504465017
liver_129_z170,liver_129,170,0.9693889021873474,0.6826061831840716,0.5181489198377496,1.0,0.7700231718283966
liver_99_z394,liver_99,394,0.9660168886184692,0.9505288297511071,0.9057217165155674,0.9775438596492804,0.9995665831795918
liver_99_z424,liver_99,424,0.9890863299369812,0.9724839803995684,0.9464416727807096,0.9939898289412945,0.9987248440280848
liver_99_z573,liver_99,573,0.971174418926239,0.8427707531611168,0.7282660332542741,0.9953370322276028,0.974661707490152
liver_99_z500,liver_99,500,0.9504257440567017,0.8842667715658021,0.7925431895640521,0.9981129282912757,0.9701851836099333
liver_99_z418,liver_99,418,0.9849209189414978,0.9635295214998941,0.9296256299497307,0.9847473784557012,0.9987894075103446
liver_99_z589,liver_99,589,0.981324315071106,0.9057707650031861,0.8277705767987237,0.9893493415956829,0.9960775157599815
liver_99_z506,liver_99,506,0.9482415914535522,0.8514219384794234,0.7412834765033662,0.8068752148505305,0.9889553494040013
liver_99_z466,liver_99,466,0.973326563835144,0.9239388794567279,0.8586304828022201,0.9997550520514392,0.9890811751975075
liver_21_z338,liver_21,338,0.9687880277633667,0.8906301176589426,0.8028252180233454,0.9975730895134904,0.9824159459304663
liver_21_z306,liver_21,306,0.9855936169624329,0.9649149224514556,0.9322083212104236,0.9894996911673981,0.9976349879174425
liver_21_z391,liver_21,391,0.9614238739013672,0.9213754330172182,0.8542132834917593,0.9993840278419417,0.9759747469250037
liver_21_z366,liver_21,366,0.9442042112350464,0.8583762130055154,0.7518906164923009,0.9913057350243315,0.9663221833213833
liver_21_z387,liver_21,387,0.9599331021308899,0.9284928174235507,0.8665297186258707,0.9990962353527801,0.9786617171471304
liver_21_z295,liver_21,295,0.9841831922531128,0.9614336331425719,0.925731531295203,0.9853351955307468,0.9981920434223325
liver_21_z266,liver_21,266,0.962976336479187,0.8433515482700567,0.7291338582691383,0.9900213827513185,0.998074717823434
liver_21_z288,liver_21,288,0.9884776473045349,0.9612563637932856,0.9254028908457793,0.9898702683490495,0.9984718361746006
liver_0_z063,liver_0,63,0.9492800235748291,0.7611057281276989,0.6143427614509092,1.0,0.9083887043189409
liver_0_z046,liver_0,46,0.9567442536354065,0.871863117870966,0.7728345129768357,1.0,0.99740620586413
liver_0_z047,liver_0,47,0.9666259288787842,0.8617205542727169,0.7570377884865406,0.9764474975466914,0.9965802992817085
liver_0_z059,liver_0,59,0.9445249438285828,0.7408052065990943,0.5883166055653208,0.9988435767490905,0.9118512694259371
liver_0_z066,liver_0,66,0.9717313647270203,0.8323823741507999,0.7128895245525695,0.9996657347757385,0.9422516533179806
liver_0_z051,liver_0,51,0.9782853722572327,0.8687236707275917,0.7679146537843747,0.9985168382481255,0.9862694569215187
liver_0_z054,liver_0,54,0.9447328448295593,0.9381282654526756,0.8834666513207784,0.9559153175591806,0.9946481689179307
liver_0_z055,liver_0,55,0.9528435468673706,0.7502872379631575,0.6003677490981125,0.9596295680142186,0.9557946999520728
liver_31_z081,liver_31,81,0.9676867723464966,0.8026124472624597,0.6703029820441652,1.0,0.9662424380778464
liver_31_z082,liver_31,82,0.9408682584762573,0.7570552503851667,0.609081981013137,1.0,0.966445889531151
liver_31_z080,liver_31,80,0.9639194011688232,0.8695186019084659,0.7691578148711042,1.0,0.9748417531804416
liver_31_z067,liver_31,67,0.9502096176147461,0.8296925411581889,0.7089526217147477,0.9997234173325139,0.9418738349506132
liver_31_z046,liver_31,46,0.9561398029327393,0.952128157886534,0.9086303492669516,0.9972525675410497,0.9939600659491125
liver_31_z043,liver_31,43,0.9401125311851501,0.9087145969499242,0.8327011379517983,0.9963372880006399,0.9901115852314847
liver_31_z031,liver_31,31,0.9597534537315369,0.9250820108166282,0.8606070603763435,0.9988512349224605,0.9967344047392002
liver_31_z042,liver_31,42,0.9406774640083313,0.9135417478756087,0.8408438576350167,0.9962591396021117,0.9913172672156948
liver_19_z501,liver_19,501,1.0052988529205322,0.954666223845936,0.9132644956315913,1.0,0.997870473293161
liver_19_z442,liver_19,442,0.9714636206626892,0.982862349738907,0.9663022005788656,0.9979834883279565,0.9937179533801233
liver_19_z338,liver_19,338,0.9834259152412415,0.965444287729257,0.9331970006818909,0.9916696848968067,0.9993330326197168
